,sub,onset,offset,cat,tier,group,Group,latency,latency group
1,22,0.007,0.735,cos’è quello	(QE),Caregiver voc,,1.0,0.501,
2,1004,0.234,0.998,Via! (AR),Caregiver voc,,3.0,0.742,within person
3,1006,0.256,0.682,xxx,Infant voc,,3.0,0.401,cg-infant
4,18,0.281,1.403,hai visto quanti? (QA),Caregiver voc,,1.0,0.64,infant-cg
5,1006,0.763,1.801,Uh guarda (C),Caregiver voc,,3.0,1.0179999999999998,within person
6,1,0.783,1.696,questi piattini (RE),Caregiver voc,,1.0,0.496,within person
7,1004,1.2,2.009,xxx,Infant voc,,3.0,0.6639999999999999,cg-infant
8,1004,1.345,3.118,Bom (C) Pronti (AR),Caregiver voc,,3.0,1.422,infant-cg
9,1,1.696,2.601,mescoli la pappa (DA),Caregiver voc,,1.0,0.873,within person
10,61,1.728,5.449,"Francesca vogliamo giocare, vogliamo giocare con la palla (NC W C)",Caregiver voc,,2.0,3.429,within person
11,22,2.02,2.914,xxx,Infant voc,,1.0,0.8200000000000003,cg-infant
12,1002,2.094,2.989,Il libro?	(QE),Caregiver voc,,3.0,0.7029999999999998,infant-cg
13,1006,2.286,3.854, e gira gira la pagina (DA DA) Gira,Caregiver voc,,3.0,1.407,within person
14,61,2.447,4.019,xxx,Infant voc,,2.0,1.416,cg-infant
15,1,2.603,4.607,e gliene dai un pochino alla bambolina forse? (QA),Caregiver voc,,1.0,1.693,infant-cg
16,1004,2.914,3.932,xxx,Infant voc,,3.0,0.6589999999999998,cg-infant
17,1002,3.273,4.282,Dov’è il libro?	 (QE),Caregiver voc,,3.0,1.004,infant-cg
18,18,3.278,3.728,xxx,Caregiver voc,,1.0,0.125,within person
19,22,3.603,4.371,come si chiama (QE),Caregiver voc,,1.0,0.5950000000000006,within person
20,1004,3.776,5.53,Op (ride) (C AL),Caregiver voc,,3.0,1.0150000000000006,within person
21,18,4.515,5.601,vieni che facciamo la torre.	 (DA W),Caregiver voc,,1.0,0.9359999999999999,within person
22,22,4.665,6.2,xxx,Infant voc,,1.0,1.4850000000000003,cg-infant
23,1,4.715,5.092,sì (C),Infant voc,,1.0,0.3639999999999999,within person
24,1006,4.728,5.721,Gira la pagina 	,Caregiver voc,,3.0,0.9119999999999999,infant-cg
25,1002,4.809,5.399,pa,Infant voc,,3.0,-0.0039999999999995595,cg-infant
26,1002,5.403,6.106,Pa (AM),Caregiver voc,,3.0,0.4089999999999998,infant-cg
27,1,5.697,6.31,così. (C),Caregiver voc,,1.0,0.6049999999999995,within person
28,61,5.705,7.628,xxx,Infant voc,,2.0,1.8719999999999999,cg-infant
29,61,5.756,6.367,giochiamo ,Caregiver voc,,2.0,0.45999999999999996,infant-cg
30,1006,5.907,6.907,gira la pagina 	,Caregiver voc,,3.0,0.9909999999999997,within person
31,1004,5.916,8.541,xxx,Infant voc,,3.0,2.2410000000000005,cg-infant
32,22,6.3,8.56,telefono (RE) cosa si fa con quello (QE),Caregiver voc,,1.0,2.2430000000000003,infant-cg
33,18,6.317,7.409,: facciamo la torre? (W),Caregiver voc,,1.0,1.0430000000000001,within person
34,10,6.366,7.271,è mio.	(CW),Infant voc,,1.0,0.8019999999999996,cg-infant
35,1004,6.469,10.274,Pronti pronti partenza	(AR),Caregiver voc,,3.0,3.794999999999999,infant-cg
36,1,6.479,7.941,xxx,Infant voc,,1.0,1.2359999999999998,cg-infant
37,1002,6.705,8.893,vediamo apriamo questo libro? (W),Caregiver voc,,3.0,1.7800000000000002,infant-cg
38,61,7.113,9.484," Francesca, vogliamo giocare con la palla",Caregiver voc,,2.0,2.0700000000000003,within person
39,10,7.414,8.206,è tuo cosa?	(QE),Caregiver voc,,1.0,0.46499999999999986,within person
40,1006,7.741,8.266,xxx,Infant voc,,3.0,0.3769999999999998,cg-infant
41,61,7.889,9.134,xxx,Infant voc,,2.0,0.9160000000000004,within person
42,1006,8.218,9.998,gira la pagina così	,Caregiver voc,,3.0,1.5139999999999993,infant-cg
43,18,8.484,9.726,aiuti la mamma? (QA),Caregiver voc,,1.0,1.1720000000000006,within person
44,22,8.554,9.914,te(l)iefono,Infant voc,,1.0,1.2279999999999998,cg-infant
45,10,8.686,11.479,na peso na peso,Infant voc,,1.0,2.683,within person
46,1,8.796,10.013,xxx,Infant voc,,1.0,0.125,within person
47,1002,9.888,10.499,sì (CW),Infant voc,,3.0,0.5620000000000012,within person
48,22,9.937,13.079,fammi sentire se sei capace di chiamare Matteo (DA RO),Caregiver voc,,1.0,3.0710000000000015,infant-cg
49,61,10.008,10.591,xxx,Caregiver voc,,2.0,0.43799999999999883,within person
50,1006,10.153,10.615,xxx,Infant voc,,3.0,0.4220000000000006,cg-infant
51,18,10.193,10.81,tor(r)e (CW),Infant voc,,1.0,0.27200000000000024,within person
52,1,10.538,10.963,xxx,Infant voc,,1.0,0.3669999999999991,within person
53,1002,10.596,11.268,Sì (C),Caregiver voc,,3.0,0.47800000000000153,infant-cg
54,61,10.79,13.682,"siii, la palla (C RE)",Caregiver voc,,2.0,2.6029999999999998,within person
55,18,11.079,12.139,la torre sì (RE C),Caregiver voc,,1.0,0.5699999999999985,within person
56,10,11.569,12.614,dov’è il piede qua? (QO),Caregiver voc,,1.0,0.7140000000000004,within person
57,1,11.9,13.205,xxx la bambina (CW),Infant voc,,1.0,0.7149999999999999,cg-infant
58,18,12.49,13.071,la tor(r)e. (RE),Caregiver voc,,1.0,0.5670000000000002,infant-cg
59,1006,12.504,13.504,Oh (C),Caregiver voc,,3.0,0.802999999999999,within person
60,1004,12.701,13.636,No ,Caregiver voc,,3.0,0.6719999999999988,within person
61,10,12.964,14.122,allora il libretto? (C QE),Caregiver voc,,1.0,0.8460000000000001,within person
62,1006,13.276,13.811,xxx,Infant voc,,3.0,0.4109999999999996,cg-infant
63,1,13.4,14.606,xxx,Infant voc,,1.0,1.0169999999999995,within person
64,52,13.589,18.079,"la pallina questa, che bella (RE)",Caregiver voc,,2.0,4.481,infant-cg
65,22,13.598,14.312,teo,Infant voc,,1.0,0.5339999999999989,cg-infant
66,18,13.778,14.207,dai,Caregiver voc,,1.0,0.3340000000000014,infant-cg
67,57,13.873,15.081,facciamo ancora (W),Caregiver voc,,2.0,1.1579999999999995,within person
68,1006,13.923,15.673,che bello (RE),Caregiver voc,,3.0,1.5779999999999994,within person
69,61,14.095,16.676,sì la palla (C RE) giochiamo (W),Caregiver voc,,2.0,2.108999999999998,within person
70,22,14.567,15.509,xxx,Caregiver voc,,1.0,0.8149999999999995,within person
71,1004,14.694,16.101,non vuoi giocare con mamma	(C RA),Caregiver voc,,3.0,1.3609999999999989,within person
72,10,14.74,15.401,sì (CW),Infant voc,,1.0,0.09200000000000053,cg-infant
73,1006,15.309,17.804,xxx,Infant voc,,3.0,2.397999999999998,within person
74,1,15.406,17.239,xxx ina,Infant voc,,1.0,1.7250000000000014,within person
75,18,15.514,16.32,: la tor(r)e.	,Caregiver voc,,1.0,0.6639999999999997,infant-cg
76,10,15.656,18.691,xx il libret(to) chi è questa?	(I RE QE),Caregiver voc,,1.0,3.0159999999999982,within person
77,22,15.675,16.36,xxx,Infant voc,,1.0,0.5510000000000002,cg-infant
78,1004,15.809,18.043,xxx,Infant voc,,3.0,1.9329999999999998,within person
79,57,16.11,20.17,"spetta, questo to, no questo 	(DA RE)",Caregiver voc,,2.0,3.7170000000000023,infant-cg
80,18,16.453,18.195,quello più g(r)ande prima. (QE),Caregiver voc,,1.0,1.4849999999999994,within person
81,22,16.71,18.678,chiedi a Matteo se viene a trovarti (DA),Caregiver voc,,1.0,1.6870000000000012,within person
82,61,16.991,18.9,: come zeta sì la palla (RE),Caregiver voc,,2.0,1.5009999999999977,within person
83,1,17.399,18.208,vieni Olga. (DA NC),Caregiver voc,,1.0,0.6609999999999978,within person
84,1002,17.547,19.465,volta detto	(CW),Infant voc,,3.0,1.532,cg-infant
85,1006,17.933,19.114,Guarda che bello (DA),Caregiver voc,,3.0,0.8599999999999994,infant-cg
86,22,18.254,19.301,xxx,Infant voc,,1.0,0.8759999999999977,cg-infant
87,18,18.425,19.001,dai (DA) qui,Caregiver voc,,1.0,0.3940000000000019,infant-cg
88,1,18.607,19.205,guarda (DA),Caregiver voc,,1.0,0.472999999999999,within person
89,10,18.732,19.604,pappa (CW),Infant voc,,1.0,0.1059999999999981,cg-infant
90,18,19.498,22.003,eccola qua.	 (C) dai che facciamo qui la torre. (AE W),Caregiver voc,,1.0,2.271000000000001,infant-cg
91,22,19.732,20.254,xxx,Caregiver voc,,1.0,0.5100000000000016,within person
92,10,19.744,21.204,e questi cosa sono? (QE),Caregiver voc,,1.0,1.3240000000000016,within person
93,1004,19.88,21.463,xxx,Infant voc,,3.0,1.559000000000001,cg-infant
